uniprot_id,label_original,label_recovered,label_used_for_experiments,label_source_tag
C4LZC2,Other,,Other,original
C5DVG6,Other,,Other,original
C6KTB8,Other,RGC,RGC,mapping
D0Z5N4,Other,RGC,RGC,mapping
D0ZV89,Histidine,,Histidine,original
D2H526,CMGC,,CMGC,original
D2IYS2,Other,TK,TK,name_regex
D3XDS2,Atypical,,Atypical,original
D3YVF0,CAMK,,CAMK,original
D3ZGQ5,Other,,Other,original
D3ZHP7,Other,,Other,original
D4A7V9,Other,RGC,RGC,mapping
D4GSE6,Other,,Other,original
D6WMX4,Atypical,,Atypical,original
D7SFH9,TK,,TK,original
D7UQM5,Other,,Other,original
E0W1I1,Atypical,,Atypical,original
E0X9C7,Histidine,,Histidine,original
E1BB52,CMGC,,CMGC,original
E1BFR5,AGC,,AGC,original
E1C2I2,AGC,,AGC,original
E2RTQ7,Other,,Other,original
E2RU81,Other,,Other,original
E7F3I6,Other,TK,TK,name_regex
E7F654,Other,TK,TK,name_regex
E9PSL7,AGC,,AGC,original
E9PUQ8,Other,,Other,original
E9PVA8,Other,RGC,RGC,mapping
E9Q394,Other,,Other,original
E9Q3L2,Other,,Other,original
F1LP90,CMGC,,CMGC,original
F1M3L7,Other,,Other,original
F1N9Y5,Other,TK,TK,mapping
F1QGZ6,CAMK,,CAMK,original
F1QU13,Other,,Other,original
F1QVU0,Other,TK,TK,name_regex
F1RKQ4,Atypical,,Atypical,original
F1SPM8,Other,,Other,original
F4HRJ4,STE,,STE,original
F4HVG8,Other,,Other,original
F4I0K2,Other,,Other,original
F4I2N7,Other,,Other,original
F4I313,Other,,Other,original
F4I7Y4,Other,,Other,original
F4IB81,Other,,Other,original
F4IS56,Other,,Other,original
F4IVI0,Other,,Other,original
F4J8C6,TK,,TK,original
F4JGR5,Other,,Other,original
F4JTP5,Other,TK,TK,name_regex
F4JY37,Other,,Other,original
F4JZW1,Other,,Other,original
F4KBF5,Other,,Other,original
F8W3R9,TK,,TK,original
G0RBE3,Other,TK,TK,name_regex
G0S3J5,Atypical,,Atypical,original
G1X456,Other,AGC,AGC,name_regex
G3V9H8,CAMK,,CAMK,original
G3V9M2,CMGC,,CMGC,original
G4NEB8,CMGC,,CMGC,original
G4RK16,Other,,Other,original
G4T4R7,Other,TK,TK,name_regex
G4V9S0,Other,CMGC,CMGC,name_regex
G5EBT1,CMGC,,CMGC,original
G5EBZ8,TK,,TK,original
G5ECJ6,TK,,TK,original
G5ECN5,STE,,STE,original
G5ECP4,TKL,,TKL,original
G5ECQ3,Other,,Other,original
G5EDA5,TKL,,TKL,original
G5EDB2,TK,,TK,original
G5EDF7,STE,,STE,original
G5EDT6,CMGC,,CMGC,original
G5EDY0,Atypical,,Atypical,original
G5EE56,TK,,TK,original
G5EEM6,STE,,STE,original
G5EEN4,STE,,STE,original
G5EFD2,TKL,,TKL,original
G5EFU0,STE,,STE,original
G5EFV5,CMGC,,CMGC,original
G5EGK5,Other,TK,TK,name_regex
G5EGQ3,STE,,STE,original
G5EGT9,Other,TK,TK,name_regex
H2KZH5,CMGC,,CMGC,original
H2KZU7,TK,,TK,original
H2KZW3,STE,,STE,original
H2L099,STE,,STE,original
I1RNG8,Other,,Other,original
I1Z695,Other,TK,TK,name_regex
J7I4B7,Other,TK,TK,name_regex
J9W0G9,AGC,,AGC,original
M3TYT0,AGC,,AGC,original
M9PGC5,Other,,Other,original
O00311,Other,,Other,original
O00329,Atypical,,Atypical,original
O00418,CAMK,,CAMK,original
O00443,Atypical,,Atypical,original
O00444,Other,,Other,original
O00459,Atypical,,Atypical,original
O00746,Atypical,,Atypical,original
O00750,Atypical,,Atypical,original
O01427,Other,,Other,original
O01510,Other,,Other,original
O01583,AGC,,AGC,original
O01700,STE,,STE,original
O01761,CAMK,,CAMK,original
O01775,Other,,Other,original
O02626,Other,,Other,original
O02697,Atypical,,Atypical,original
O05877,Other,,Other,original
O08333,Other,,Other,original
O08543,CMGC,,CMGC,original
O08560,Other,,Other,original
O08623,AGC,,AGC,original
O08873,Other,,Other,original
O08874,AGC,,AGC,original
O08901,Other,,Other,original
O08911,CMGC,,CMGC,original
O13839,Other,,Other,original
O13853,Other,,Other,original
O13889,Other,RGC,RGC,mapping
O13902,Atypical,,Atypical,original
O13911,Other,TK,TK,name_regex
O13924,Other,,Other,original
O13958,CMGC,,CMGC,original
O14019,Other,,Other,original
O14098,CMGC,,CMGC,original
O14132,Other,,Other,original
O14299,STE,,STE,original
O14305,STE,,STE,original
O14356,Other,TK,TK,name_regex
O14730,Atypical,,Atypical,original
O14757,CAMK,,CAMK,original
O14874,Atypical,,Atypical,original
O14936,CAMK,,CAMK,original
O14964,TK,,TK,original
O14976,Other,,Other,original
O15021,AGC,,AGC,original
O15146,TK,,TK,original
O15197,Other,TK,TK,name_regex
O15865,CAMK,,CAMK,original
O17622,Other,,Other,original
O18209,Other,TK,TK,name_regex
O18734,AGC,,AGC,original
O18735,TK,,TK,original
O19001,Other,CMGC,CMGC,name_regex
O19002,CMGC,,CMGC,original
O22040,STE,,STE,original
O22042,STE,,STE,original
O22267,Histidine,,Histidine,original
O22932,CAMK,,CAMK,original
O23304,STE,,STE,original
O24527,STE,,STE,original
O24585,Other,AGC,AGC,name_regex
O24767,Other,,Other,original
O25533,Other,,Other,original
O30245,Atypical,,Atypical,original
O34507,Other,,Other,original
O35099,CMGC,,CMGC,original
O35491,CMGC,,CMGC,original
O35495,CMGC,,CMGC,original
O35826,AGC,,AGC,original
O35831,CMGC,,CMGC,original
O35926,CMGC,,CMGC,original
O42422,Other,TK,TK,name_regex
O42844,CAMK,,CAMK,original
O42900,Other,,Other,original
O43187,TKL,,TKL,original
O43252,Other,,Other,original
O43293,CAMK,,CAMK,original
O43318,TKL,,TKL,original
O43353,TKL,,TKL,original
O43422,Other,TK,TK,name_regex
O43572,Atypical,,Atypical,original
O43683,Other,,Other,original
O43687,Other,,Other,original
O43741,CAMK,,CAMK,original
O43781,CMGC,,CMGC,original
O43921,CMGC,,CMGC,original
O44408,CMGC,,CMGC,original
O44514,CMGC,,CMGC,original
O44959,Atypical,,Atypical,original
O44997,CAMK,,CAMK,original
O45797,AGC,,AGC,original
O45818,CAMK,,CAMK,original
O46560,Other,,Other,original
O48709,Other,,Other,original
O49196,Other,,Other,original
O49203,Atypical,,Atypical,original
O49545,Other,,Other,original
O49839,TK,,TK,original
O50274,Other,TKL,TKL,mapping
O54838,Other,TK,TK,mapping
O54874,AGC,,AGC,original
O54885,CAMK,,CAMK,original
O54967,TK,,TK,original
O54992,AGC,,AGC,original
O55173,AGC,,AGC,original
O55222,TKL,,TKL,original
O58328,Other,,Other,original
O59748,Other,Atypical,Atypical,name_regex
O59763,Other,,Other,original
O59790,Other,,Other,original
O60229,CAMK,,CAMK,original
O60271,CMGC,,CMGC,original
O60285,CAMK,,CAMK,original
O60336,CMGC,,CMGC,original
O60674,Other,TK,TK,mapping
O61122,STE,,STE,original
O61125,STE,,STE,original
O61267,CAMK,,CAMK,original
O61460,TK,,TK,original
O61661,CAMK,,CAMK,original
O61847,CMGC,,CMGC,original
O62305,CAMK,,CAMK,original
O62618,CMGC,,CMGC,original
O62619,Other,,Other,original
O64629,Other,,Other,original
O64682,Other,,Other,original
O64768,Other,TK,TK,name_regex
O64816,Other,TK,TK,name_regex
O64825,Other,,Other,original
O65440,Other,,Other,original
O69729,TK,,TK,original
O70150,CAMK,,CAMK,original
O70167,Atypical,,Atypical,original
O70405,Other,,Other,original
O70444,CAMK,,CAMK,original
O73791,TK,,TK,original
O73875,TK,,TK,original
O74135,CK1,,CK1,original
O74304,STE,,STE,original
O74429,Histidine,,Histidine,original
O74536,CAMK,,CAMK,original
O74539,Histidine,,Histidine,original
O74630,Other,Atypical,Atypical,mapping
O74866,Other,,Other,original
O75011,Other,,Other,original
O75063,Other,,Other,original
O75460,Other,TK,TK,name_regex
O75563,TK,,TK,original
O75569,Other,TK,TK,name_regex
O75716,TKL,,TKL,original
O75838,CAMK,,CAMK,original
O75912,Other,,Other,original
O76039,CMGC,,CMGC,original
O76324,CK1,,CK1,original
O76360,AGC,,AGC,original
O76411,TK,,TK,original
O80345,CMGC,,CMGC,original
O80396,STE,,STE,original
O80397,STE,,STE,original
O80528,Other,,Other,original
O80568,Other,,Other,original
O80888,Other,,Other,original
O80963,Other,,Other,original
O81069,TK,,TK,original
O81472,CMGC,,CMGC,original
O81833,Other,,Other,original
O81852,Other,,Other,original
O81893,Other,,Other,original
O82318,Other,,Other,original
O83553,Other,,Other,original
O88351,Other,,Other,original
O88653,CMGC,,CMGC,original
O88763,Atypical,,Atypical,original
O88987,Other,,Other,original
O94235,Other,,Other,original
O94487,Other,,Other,original
O94537,Other,,Other,original
O94547,CAMK,,CAMK,original
O94684,CMGC,,CMGC,original
O94740,Other,TK,TK,name_regex
O94751,Other,,Other,original
O94768,CAMK,,CAMK,original
O94806,AGC,,AGC,original
O95147,Other,TK,TK,mapping
O95544,Other,,Other,original
O95819,CMGC,,CMGC,original
O95835,AGC,,AGC,original
O96838,Other,,Other,original
O97799,Other,TK,TK,name_regex
P00519,TK,,TK,original
P00522,TK,,TK,original
P00528,TK,,TK,original
P00533,TK,,TK,original
P00545,Other,TK,TK,name_regex
P00568,Other,,Other,original
P00572,Other,,Other,original
P03949,TK,,TK,original
P04290,Atypical,,Atypical,original
P04385,Other,TK,TK,mapping
P04413,Other,,Other,original
P05129,AGC,,AGC,original
P05130,AGC,,AGC,original
P05986,AGC,,AGC,original
P05987,Other,,Other,original
P06101,Other,TK,TK,name_regex
P06242,CMGC,,CMGC,original
P06782,CAMK,,CAMK,original
P06784,STE,,STE,original
P07250,CAMK,,CAMK,original
P07277,Other,,Other,original
P07278,AGC,,AGC,original
P07334,CAMK,,CAMK,original
P07527,Other,,Other,original
P08018,STE,,STE,original
P08182,Other,,Other,original
P08581,Other,TK,TK,name_regex
P08630,TK,,TK,original
P08631,TK,,TK,original
P08660,Other,,Other,original
P08760,Atypical,,Atypical,original
P08922,TK,,TK,original
P08923,TK,,TK,original
P08941,TK,,TK,original
P09099,Other,,Other,original
P09208,TK,,TK,original
P09605,Atypical,,Atypical,original
P09760,Other,TK,TK,name_regex
P09835,Histidine,,Histidine,original
P0A6C8,Other,TK,TK,mapping
P0A796,Other,,Other,original
P0AA93,Histidine,,Histidine,original
P0ABN1,Other,,Other,original
P0ACY3,Other,,Other,original
P0AD14,Histidine,,Histidine,original
P0AD61,Other,,Other,original
P0AE82,Histidine,,Histidine,original
P0AEC5,Histidine,,Histidine,original
P0AEC8,Histidine,,Histidine,original
P0AEJ4,Histidine,,Histidine,original
P0AEW6,Other,,Other,original
P0AEW9,Other,,Other,original
P0AFB5,Histidine,,Histidine,original
P0AGG0,Other,,Other,original
P0C0K3,Other,,Other,original
P0C0R5,Other,,Other,original
P0C0T1,Other,,Other,original
P0C1S8,Other,,Other,original
P0C5E2,TK,,TK,original
P0CM22,Other,,Other,original
P0DL10,Other,CMGC,CMGC,name_regex
P0DMC5,Histidine,,Histidine,original
P0DMM5,Other,TK,TK,name_regex
P0DPA8,Other,TK,TK,mapping
P0DV84,TK,,TK,original
P10506,CMGC,,CMGC,original
P10869,Other,,Other,original
P10880,Other,,Other,original
P11346,TKL,,TKL,original
P11792,AGC,,AGC,original
P11799,CAMK,,CAMK,original
P11801,CAMK,,CAMK,original
P11837,CAMK,,CAMK,original
P12624,CAMK,,CAMK,original
P12688,AGC,,AGC,original
P12798,CAMK,,CAMK,original
P12928,Other,,Other,original
P13185,CAMK,,CAMK,original
P13186,CAMK,,CAMK,original
P13234,CAMK,,CAMK,original
P13288,Atypical,,Atypical,original
P13388,TK,,TK,original
P13677,AGC,,AGC,original
P13799,Histidine,,Histidine,original
P14083,TK,,TK,original
P14377,Histidine,,Histidine,original
P14680,CMGC,,CMGC,original
P14681,Other,,Other,original
P15056,TKL,,TKL,original
P15442,Other,RGC,RGC,mapping
P15454,Other,,Other,original
P15700,Other,,Other,original
P15735,CAMK,,CAMK,original
P15790,Other,,Other,original
P16304,Other,,Other,original
P16788,Atypical,,Atypical,original
P16912,AGC,,AGC,original
P17423,Other,Histidine,Histidine,name_regex
P17709,Other,,Other,original
P17948,TK,,TK,original
P18106,Other,TK,TK,name_regex
P18160,TK,,TK,original
P18161,TK,,TK,original
P18431,CMGC,,CMGC,original
P18461,TK,,TK,original
P18475,Other,TK,TK,name_regex
P19525,Other,RGC,RGC,mapping
P20425,Other,,Other,original
P20485,Other,,Other,original
P20794,CMGC,,CMGC,original
P20827,CMGC,,CMGC,original
P20911,CMGC,,CMGC,original
P21127,CMGC,,CMGC,original
P21137,AGC,,AGC,original
P21268,Other,CK1,CK1,name_regex
P21373,Other,,Other,original
P21860,TK,,TK,original
P21965,CK1,,CK1,original
P22204,Other,,Other,original
P22211,Other,RGC,RGC,name_regex
P22216,CAMK,,CAMK,original
P22219,Other,TK,TK,name_regex
P22517,CAMK,,CAMK,original
P22887,Other,,Other,original
P22987,Other,,Other,original
P23292,CK1,,CK1,original
P23293,CMGC,,CMGC,original
P23298,AGC,,AGC,original
P23561,STE,,STE,original
P23573,CMGC,,CMGC,original
P23647,Other,,Other,original
P23677,CAMK,,CAMK,original
P23727,Atypical,,Atypical,original
P23743,CAMK,,CAMK,original
P23874,Other,,Other,original
P23919,Other,,Other,original
P24348,TK,,TK,original
P24518,Other,,Other,original
P24583,AGC,,AGC,original
P25323,CAMK,,CAMK,original
P25333,Other,,Other,original
P25341,Other,,Other,original
P25389,CAMK,,CAMK,original
P26512,Other,,Other,original
P27144,Atypical,,Atypical,original
P27450,TK,,TK,original
P27466,CAMK,,CAMK,original
P27515,Other,,Other,original
P27638,CMGC,,CMGC,original
P27697,Atypical,,Atypical,original
P27987,CAMK,,CAMK,original
P28178,AGC,,AGC,original
P28667,CAMK,,CAMK,original
P28708,CAMK,,CAMK,original
P28829,CMGC,,CMGC,original
P29295,CK1,,CK1,original
P29322,Other,TK,TK,name_regex
P29323,TK,,TK,original
P29597,TK,,TK,original
P29620,CMGC,,CMGC,original
P29931,Other,,Other,original
P30085,Other,,Other,original
P30086,Other,TK,TK,name_regex
P30290,Other,,Other,original
P30291,Other,,Other,original
P30530,Other,TK,TK,mapping
P30847,Histidine,,Histidine,original
P31006,Other,,Other,original
P31152,CMGC,,CMGC,original
P31318,Atypical,,Atypical,original
P31323,Other,,Other,original
P31374,Other,,Other,original
P32143,Other,,Other,original
P32171,Other,,Other,original
P32189,Atypical,,Atypical,original
P32325,Other,,Other,original
P32350,CMGC,,CMGC,original
P32361,Other,TK,TK,name_regex
P32490,STE,,STE,original
P32491,STE,,STE,original
P32562,Other,AGC,AGC,name_regex
P32577,TK,,TK,original
P32578,Other,,Other,original
P32600,Other,TK,TK,name_regex
P32622,CAMK,,CAMK,original
P32742,Other,,Other,original
P32789,Other,TK,TK,name_regex
P32801,Other,,Other,original
P32866,AGC,,AGC,original
P32944,Other,,Other,original
P33639,Histidine,,Histidine,original
P33886,STE,,STE,original
P33892,Other,RGC,RGC,mapping
P33981,Other,CMGC,CMGC,name_regex
P34093,Atypical,,Atypical,original
P34099,AGC,,AGC,original
P34125,Other,TK,TK,name_regex
P34164,Other,,Other,original
P34208,CAMK,,CAMK,original
P34244,CAMK,,CAMK,original
P34314,Other,,Other,original
P34331,Other,,Other,original
P34556,CMGC,,CMGC,original
P34609,CMGC,,CMGC,original
P34722,AGC,,AGC,original
P34756,Other,,Other,original
P34885,AGC,,AGC,original
P34908,TKL,,TKL,original
P34925,Other,TK,TK,name_regex
P34947,AGC,,AGC,original
P35507,CK1,,CK1,original
P35590,Other,TK,TK,mapping
P35739,TK,,TK,original
P35790,Other,,Other,original
P35968,TK,,TK,original
P35991,TK,,TK,original
P36003,Other,,Other,original
P36005,Other,TK,TK,name_regex
P36010,Atypical,,Atypical,original
P36027,Other,,Other,original
P36132,Other,,Other,original
P36204,Atypical,,Atypical,original
P36582,AGC,,AGC,original
P36583,AGC,,AGC,original
P36600,AGC,,AGC,original
P36615,CMGC,,CMGC,original
P36616,Other,,Other,original
P36894,TKL,,TKL,original
P36896,TKL,,TKL,original
P37172,TKL,,TKL,original
P37297,Other,,Other,original
P37349,Other,,Other,original
P37529,Other,,Other,original
P37530,Other,,Other,original
P37562,Other,,Other,original
P37677,Other,,Other,original
P38011,CK1,,CK1,original
P38070,AGC,,AGC,original
P38080,Other,,Other,original
P38110,Other,Atypical,Atypical,mapping
P38111,Other,Atypical,Atypical,mapping
P38147,CAMK,,CAMK,original
P38502,Other,,Other,original
P38623,CAMK,,CAMK,original
P38679,STE,,STE,original
P38691,Other,,Other,original
P38692,Other,,Other,original
P38930,Other,,Other,original
P38970,CAMK,,CAMK,original
P38990,Other,,Other,original
P38991,Other,,Other,original
P38994,Other,,Other,original
P39009,CAMK,,CAMK,original
P39104,Other,,Other,original
P39207,Other,,Other,original
P39745,CMGC,,CMGC,original
P39928,Histidine,,Histidine,original
P39962,CK1,,CK1,original
P40160,Atypical,,Atypical,original
P40228,Other,,Other,original
P40233,CK1,,CK1,original
P40236,CK1,,CK1,original
P40376,AGC,,AGC,original
P40380,Other,CMGC,CMGC,name_regex
P40484,Other,,Other,original
P40494,Other,,Other,original
P40530,Atypical,,Atypical,original
P41279,STE,,STE,original
P41695,Other,,Other,original
P41808,CMGC,,CMGC,original
P41835,Other,TK,TK,name_regex
P42338,Atypical,,Atypical,original
P42339,Atypical,,Atypical,original
P42345,Atypical,,Atypical,original
P42525,CMGC,,CMGC,original
P42527,Other,TK,TK,name_regex
P42679,Other,CK1,CK1,name_regex
P42680,Other,TK,TK,name_regex
P42681,TK,,TK,original
P42684,TK,,TK,original
P42773,CMGC,,CMGC,original
P42951,Other,,Other,original
P43057,AGC,,AGC,original
P43298,Other,,Other,original
P43403,TK,,TK,original
P43405,TK,,TK,original
P43563,Other,,Other,original
P43565,Other,,Other,original
P43602,Other,,Other,original
P43633,Other,TK,TK,name_regex
P43637,Other,TK,TK,name_regex
P43639,Other,,Other,original
P44308,Other,,Other,original
P45425,AGC,,AGC,original
P45510,CAMK,,CAMK,original
P45894,CAMK,,CAMK,original
P46014,Other,,Other,original
P46549,STE,,STE,original
P46551,CMGC,,CMGC,original
P46573,TK,,TK,original
P46962,Other,,Other,original
P46963,Other,,Other,original
P47075,Other,TK,TK,name_regex
P47116,Other,,Other,original
P47143,Other,,Other,original
P47735,Other,,Other,original
P47859,Other,,Other,original
P48562,STE,,STE,original
P48609,CMGC,,CMGC,original
P49137,AGC,,AGC,original
P49187,CMGC,,CMGC,original
P49593,CAMK,,CAMK,original
P49594,CAMK,,CAMK,original
P49619,CAMK,,CAMK,original
P49657,CMGC,,CMGC,original
P49759,CMGC,,CMGC,original
P49762,CMGC,,CMGC,original
P49771,TK,,TK,original
P49773,AGC,,AGC,original
P49842,Other,,Other,original
P49918,Other,CMGC,CMGC,name_regex
P49919,Other,CMGC,CMGC,name_regex
P50520,Atypical,,Atypical,original
P50526,Other,,Other,original
P50527,STE,,STE,original
P50528,Other,,Other,original
P50530,CK1,,CK1,original
P50582,Other,,Other,original
P51136,CMGC,,CMGC,original
P51480,CMGC,,CMGC,original
P51570,Other,TK,TK,mapping
P51813,TK,,TK,original
P51817,AGC,,AGC,original
P51948,CMGC,,CMGC,original
P51954,Other,,Other,original
P51955,Other,,Other,original
P51957,Other,,Other,original
P52101,Histidine,,Histidine,original
P52304,Other,,Other,original
P52333,Other,TK,TK,mapping
P52429,Other,,Other,original
P52489,Other,,Other,original
P52687,Histidine,,Histidine,original
P52797,CMGC,,CMGC,original
P52800,CMGC,,CMGC,original
P52824,Other,,Other,original
P53104,Other,TK,TK,name_regex
P53170,Atypical,,Atypical,original
P53350,Other,,Other,original
P53599,STE,,STE,original
P53682,CAMK,,CAMK,original
P53739,Other,,Other,original
P53915,Other,,Other,original
P53974,Other,,Other,original
P54199,Other,,Other,original
P54265,Atypical,,Atypical,original
P54350,Other,,Other,original
P54352,Other,,Other,original
P54360,Other,TK,TK,name_regex
P54367,CK1,,CK1,original
P54644,AGC,,AGC,original
P54645,CAMK,,CAMK,original
P54673,Atypical,,Atypical,original
P54674,Atypical,,Atypical,original
P54675,Atypical,,Atypical,original
P54685,CMGC,,CMGC,original
P54756,Other,Histidine,Histidine,name_regex
P54886,Atypical,,Atypical,original
P55263,Other,,Other,original
P55273,CMGC,,CMGC,original
P57078,AGC,,AGC,original
P61488,Other,,Other,original
P61584,AGC,,AGC,original
P61809,CMGC,,CMGC,original
P61925,Other,,Other,original
P62262,Other,AGC,AGC,name_regex
P62345,CAMK,,CAMK,original
P63208,CMGC,,CMGC,original
P70268,AGC,,AGC,original
P70600,CAMK,,CAMK,original
P70826,Other,,Other,original
P73276,Histidine,,Histidine,original
P75548,Other,,Other,original
P76014,Other,,Other,original
P76015,Other,,Other,original
P76339,Histidine,,Histidine,original
P76387,Other,TK,TK,name_regex
P76422,Other,TK,TK,name_regex
P77364,Other,,Other,original
P77510,Histidine,,Histidine,original
P78347,TK,,TK,original
P78362,CMGC,,CMGC,original
P78810,Other,TK,TK,name_regex
P78963,Other,TK,TK,mapping
P79701,TK,,TK,original
P80192,STE,,STE,original
P80197,Other,,Other,original
P80203,TKL,,TKL,original
P81900,Other,,Other,original
P83100,CMGC,,CMGC,original
P83103,Other,,Other,original
P85051,CMGC,,CMGC,original
P87050,CAMK,,CAMK,original
P90648,Other,TK,TK,name_regex
P92958,CAMK,,CAMK,original
P93194,Other,,Other,original
P96368,CAMK,,CAMK,original
P96716,Other,TK,TK,name_regex
P97343,Other,,Other,original
P97377,CMGC,,CMGC,original
P97756,CAMK,,CAMK,original
P97836,Other,TK,TK,name_regex
P98172,CMGC,,CMGC,original
P9WGK3,Histidine,,Histidine,original
P9WGK9,Histidine,,Histidine,original
P9WGL5,Histidine,,Histidine,original
P9WI63,Other,,Other,original
P9WI65,Other,,Other,original
P9WI66,Other,,Other,original
P9WI69,Other,,Other,original
P9WI71,Other,,Other,original
P9WI75,Other,,Other,original
P9WI77,Other,,Other,original
P9WI78,Other,,Other,original
P9WI81,Other,,Other,original
P9WID3,Other,,Other,original
P9WID7,Other,,Other,original
P9WKE1,Other,,Other,original
P9WKF5,Other,,Other,original
P9WLZ7,Other,,Other,original
P9WNM5,Other,TKL,TKL,mapping
P9WPI9,TK,,TK,original
Q00168,CAMK,,CAMK,original
Q00342,TK,,TK,original
Q00534,CMGC,,CMGC,original
Q00771,CAMK,,CAMK,original
Q00772,CMGC,,CMGC,original
Q01217,Atypical,,Atypical,original
Q01389,CK1,,CK1,original
Q01415,Other,TK,TK,mapping
Q01583,CAMK,,CAMK,original
Q01919,Other,,Other,original
Q01973,TK,,TK,original
Q02040,Other,TK,TK,name_regex
Q02099,Other,Atypical,Atypical,mapping
Q02111,AGC,,AGC,original
Q02499,Other,,Other,original
Q02606,CMGC,,CMGC,original
Q02952,CAMK,,CAMK,original
Q03002,Other,,Other,original
Q03042,AGC,,AGC,original
Q03043,AGC,,AGC,original
Q03142,TK,,TK,original
Q03145,Other,TK,TK,name_regex
Q03351,TK,,TK,original
Q03407,AGC,,AGC,original
Q03426,Other,,Other,original
Q03497,STE,,STE,original
Q03526,Other,TK,TK,name_regex
Q03533,Other,,Other,original
Q03563,Other,,Other,original
Q03603,CAMK,,CAMK,original
Q03656,Other,CMGC,CMGC,name_regex
Q03778,Atypical,,Atypical,original
Q03785,TK,,TK,original
Q03941,Atypical,,Atypical,original
Q03957,CMGC,,CMGC,original
Q03963,Other,RGC,RGC,mapping
Q04430,Other,,Other,original
Q04739,Other,,Other,original
Q04912,TK,,TK,original
Q04940,CAMK,,CAMK,original
Q04J43,Other,,Other,original
Q05512,CAMK,,CAMK,original
Q05599,Other,,Other,original
Q05609,TKL,,TKL,original
Q05652,TKL,,TKL,original
Q05655,AGC,,AGC,original
Q06067,Histidine,,Histidine,original
Q06147,Other,,Other,original
Q06204,Other,,Other,original
Q06240,Histidine,,Histidine,original
Q06259,Other,,Other,original
Q06418,Other,TK,TK,mapping
Q06685,Histidine,,Histidine,original
Q06807,TK,,TK,original
Q06904,Histidine,,Histidine,original
